start,end,iso3,FiveYrSD,FiveYrAverageGDPgrowth
2005,2009,BWA,6.6795869,3.9580941
2006,2010,BWA,7.0019474,4.7594914
2007,2011,BWA,6.7769132,4.2963805
2008,2012,BWA,6.4370732,3.6066597
2009,2013,BWA,6.8841858,4.2226768
2010,2014,BWA,2.2044795,6.6373467
2011,2015,BWA,2.2211633,6.1557755
1997,2001,CAF,3.1919212,3.1150665
1998,2002,CAF,2.9859705,2.7783635
1999,2003,CAF,4.4278636,.7588709
2000,2004,CAF,4.9148154,1.2378687
2001,2005,CAF,4.4868932,1.9173759
2002,2006,CAF,4.3837295,1.7522815
2003,2007,CAF,4.5096908,1.9504964
2004,2008,CAF,2.0163171,3.4408154
2005,2009,CAF,1.5052555,2.5836613
2006,2010,CAF,1.1784832,3.0113754
2007,2011,CAF,1.1425623,2.9436612
2008,2012,CAF,.97095889,2.8447001
2009,2013,CAF,17.502686,-4.7755408
2010,2014,CAF,17.440632,-4.915319
2011,2015,CAF,19.47187,-6.9058132
1997,2001,CAN,1.3851711,4.0400577
1998,2002,CAN,1.478264,3.7497616
1999,2003,CAN,1.6537398,3.3071876
2000,2004,CAN,1.362045,2.9354939
2001,2005,CAN,.69254112,2.5434954
2002,2006,CAN,.50475222,2.7301769
2003,2007,CAN,.59352833,2.5714655
2004,2008,CAN,.840841,2.4214873
2005,2009,CAN,2.3353634,1.2514355
2006,2010,CAN,2.3800504,1.2936604
2007,2011,CAN,2.4315012,1.3613245
2008,2012,CAN,2.4261115,1.3442351
2009,2013,CAN,2.4399316,1.5098516
2010,2014,CAN,.6227532,2.5400069
2011,2015,CAN,.47655904,2.3314452
1997,2001,CEB,.66440016,3.107434
1998,2002,CEB,.63368857,3.0498919
1999,2003,CEB,.86391973,3.3409808
2000,2004,CEB,1.0109923,4.0122924
2001,2005,CEB,1.0772451,4.1998267
2002,2006,CEB,1.2297225,4.8997421
2003,2007,CEB,.92614079,5.5388269
2004,2008,CEB,1.1944344,5.38239
2005,2009,CEB,4.1865282,3.5534017
2006,2010,CEB,4.1538334,2.9923036
2007,2011,CEB,3.6902339,2.3200674
2008,2012,CEB,2.9183481,1.14362
2009,2013,CEB,2.5908723,.67017913
2010,2014,CEB,1.0793508,1.9536746
2011,2015,CEB,1.2442721,1.9259681
1997,2001,CHE,1.0197128,2.4585779
1998,2002,CHE,1.4626387,2.0248473
1999,2003,CHE,1.5760616,1.4458344
2000,2004,CHE,1.7000729,1.6857497
2001,2005,CHE,1.4244634,1.5041902
2002,2006,CHE,1.8089396,2.0174284
2003,2007,CHE,1.6499021,2.8168192
2004,2008,CHE,.79538828,3.2623255
2005,2009,CHE,2.573056,2.2678123
2006,2010,CHE,2.5670013,2.2509143
2007,2011,CHE,2.3705366,1.8092681
2008,2012,CHE,1.9807609,1.2061243
2009,2013,CHE,1.9242733,1.1044424
2010,2014,CHE,.65913093,1.9082614
2011,2015,CHE,.35182005,1.6468726
1997,2001,CHI,3.7861793,2.694648
1998,2002,CHI,3.7732198,1.6129344
1999,2003,CHI,3.9134271,.64991605
2000,2004,CHI,3.5067575,-.059297178
2001,2005,CHI,1.7784561,-.94907868
2002,2006,CHI,3.0886388,.32997349
2003,2007,CHI,3.6733296,1.8360808
2004,2008,CHI,2.7229643,3.0956402
2005,2009,CHI,2.371711,4.0527878
2006,2010,CHI,.7184419,5.3903146
1997,2001,CHL,2.6841764,3.3839154
1998,2002,CHL,1.9988017,2.496181
1999,2003,CHL,2.0897927,2.641355
2000,2004,CHL,1.4316767,4.0017433
2001,2005,CHL,1.5933371,4.2144752
2002,2006,CHL,1.5180047,4.4258337
2003,2007,CHL,.84588933,5.0246172
2004,2008,CHL,1.0763248,4.8917584
2005,2009,CHL,2.6663706,3.4762547
2006,2010,CHL,2.7054422,3.515106
2007,2011,CHL,2.892992,3.8020396
2008,2012,CHL,2.9305749,3.8613007
2009,2013,CHL,2.9149728,4.0480475
2010,2014,CHL,1.6627162,4.6341438
2011,2015,CHL,1.7787372,4.3542528
1997,2001,CHN,.62028366,8.2852411
1998,2002,CHN,.56958574,8.2580452
1999,2003,CHN,.90825456,8.6913424
2000,2004,CHN,.84505469,9.1828365
2001,2005,CHN,1.1496392,9.767458
2002,2006,CHN,1.3968889,10.645429
2003,2007,CHN,1.787287,11.666239
2004,2008,CHN,1.8847556,11.58692
2005,2009,CHN,2.080972,11.418501
2006,2010,CHN,2.1114316,11.274364
2007,2011,CHN,2.0606067,10.633621
2008,2012,CHN,1.0377946,9.3446884
2009,2013,CHN,1.2486528,8.9567747
2010,2014,CHN,1.4350973,8.5637569
2011,2015,CHN,.98191786,8.0467682
1997,2001,CIV,2.7976904,1.6689464
1998,2002,CIV,2.8408146,.58670741
1999,2003,CIV,1.5235908,-.67133576
2000,2004,CIV,1.3818901,-.7484867
2001,2005,CIV,1.5102657,.0094427932
2002,2006,CIV,1.6576649,.28833687
2003,2007,CIV,1.3218873,.97487265
2004,2008,CIV,.48808211,1.7553481
2005,2009,CIV,.72478878,2.1592844
2006,2010,CIV,.691356,2.2185626
2007,2011,CIV,3.0856762,1.0379431
2008,2012,CIV,5.3630219,2.8262365
2009,2013,CIV,6.0604591,4.1613841
2010,2014,CIV,6.3188252,5.220387
2011,2015,CIV,6.9973378,6.0210738
1997,2001,CMR,.51847386,4.5919299
1998,2002,CMR,.37173143,4.3309069
1999,2003,CMR,.20895746,4.1580338
2000,2004,CMR,.29478922,4.0859489
2001,2005,CMR,.84207577,3.7106032
2002,2006,CMR,.72358572,3.4525497
2003,2007,CMR,.65380919,3.3018737
2004,2008,CMR,.5219512,3.0724843
2005,2009,CMR,.58482659,2.7184834
2006,2010,CMR,.57099044,2.9128428
2007,2011,CMR,.7979098,3.0961604
2008,2012,CMR,1.0480424,3.3627753
2009,2013,CMR,1.3752867,3.8983035
2010,2014,CMR,1.0749414,4.6973267
2011,2015,CMR,.830782,5.0544958
1997,2001,COD,2.2561421,-4.1044884
1998,2002,COD,3.6447208,-2.391526
1999,2003,COD,5.1401343,-.95113075
2000,2004,COD,5.6912012,1.2505722
2001,2005,COD,3.6320827,3.8597879
2002,2006,COD,1.446318,5.3440189
2003,2007,COD,.56344587,6.0063596
2004,2008,COD,.51245433,6.1359754
2005,2009,COD,1.4522339,5.3593125
2006,2010,COD,1.6288664,5.5480599
2007,2011,COD,1.7188692,5.8567901
2008,2012,COD,1.815713,6.036468
2009,2013,COD,2.133081,6.4919887
2010,2014,COD,.9787603,7.7302957
2011,2015,COD,1.0490431,7.8931475
1997,2001,COG,4.0161319,2.3818247
1998,2002,COG,3.704581,3.423161
1999,2003,COG,3.8696935,2.8383033
2000,2004,COG,2.4280567,4.0500693
2001,2005,COG,2.4937654,4.0860252
2002,2006,COG,2.6567476,4.5727043
2003,2007,COG,3.8248224,3.3398857
2004,2008,COG,3.6258497,4.2916861
2005,2009,COG,3.8350286,5.0901351
2006,2010,COG,4.0290384,5.2893143
2007,2011,COG,4.0602689,4.7262392
2008,2012,COG,2.3027544,5.8026829
2009,2013,COG,2.5410554,5.3763714
2010,2014,COG,2.4147642,5.2385836
2011,2015,COG,1.6224729,4.3603158
1997,2001,COL,3.3604038,1.1787907
1998,2002,COL,3.2281771,.99352807
1999,2003,COL,3.4574773,1.6632257
2000,2004,COL,1.4721135,3.5706332
2001,2005,COL,1.5183015,3.6279457
2002,2006,COL,1.565345,4.6318693
2003,2007,COL,1.2800852,5.5111985
2004,2008,COL,1.4007411,5.4369054
2005,2009,COL,2.2054355,4.7006106
2006,2010,COL,2.22929,4.5536594
2007,2011,COL,2.2037003,4.5320587
2008,2012,COL,1.7621853,3.960722
2009,2013,COL,1.7899343,4.2386189
2010,2014,COL,1.065123,4.8188095
2011,2015,COL,1.1016908,5.0305614
1997,2001,COM,3.9158132,4.0836277
1998,2002,COM,3.9950998,3.7425153
1999,2003,COM,3.884001,3.9068031
2000,2004,COM,3.8845787,3.905899
2001,2005,COM,.34406158,2.3037655
2002,2006,COM,.37771985,2.3665583
2003,2007,COM,.79963624,2.0616329
2004,2008,COM,1.0880482,1.720866
2005,2009,COM,1.0895202,1.7269455
2006,2010,COM,.95624435,1.5994639
2007,2011,COM,.94354701,1.590084
2008,2012,COM,.99462688,2.0300534
2009,2013,COM,.6204837,2.6500001
2010,2014,COM,.5902701,2.672328
2011,2015,COM,.60959226,2.79041
1997,2001,CPV,4.6747112,10.274977
1998,2002,CPV,5.124845,9.10147
1999,2003,CPV,5.092433,7.4332647
2000,2004,CPV,4.9193583,7.2281494
